Experiment;Name;Year;Sowing;Harvest;Fertilisation_min;Crop;Lat;Long;Elevation
EX221;HUB_Thyrow_D1;2015;26.08.2014;21.07.2015;fert37;WC;52.252;13.235;47
EX222;HUB_Thyrow_D1;2015;24.09.2014;04.08.2015;fert35;WR;52.252;13.235;47
EX223;HUB_Thyrow_D1;2015;24.09.2014;23.07.2015;fert35;WW;52.252;13.235;47
EX224;HUB_Thyrow_D1;2015;14.04.2015;10.09.2015;no_fert;PO;52.252;13.235;47
EX225;HUB_Thyrow_D1;2015;26.08.2014;21.07.2015;no_fert;WC;52.252;13.235;47
EX226;HUB_Thyrow_D1;2015;24.09.2014;04.08.2015;no_fert;WR;52.252;13.235;47
EX227;HUB_Thyrow_D1;2015;24.09.2014;23.07.2015;no_fert;WW;52.252;13.235;47
EX228;HUB_Thyrow_D1;2015;14.04.2015;10.09.2015;fert34;PO;52.252;13.235;47
EX229;HUB_Thyrow_D1;2015;26.08.2014;21.07.2015;fert38;WC;52.252;13.235;47
EX230;HUB_Thyrow_D1;2015;24.09.2014;04.08.2015;fert36;WR;52.252;13.235;47
EX231;HUB_Thyrow_D1;2015;24.09.2014;23.07.2015;fert36;WW;52.252;13.235;47
EX232;HUB_Thyrow_D1;2015;14.04.2015;10.09.2015;fert33;PO;52.252;13.235;47
EX233;HUB_Thyrow_D1;2015;26.08.2014;21.07.2015;fert37;WC;52.252;13.235;47
EX234;HUB_Thyrow_D1;2015;24.09.2014;04.08.2015;fert35;WR;52.252;13.235;47
EX235;HUB_Thyrow_D1;2015;24.09.2014;23.07.2015;fert35;WW;52.252;13.235;47
EX236;HUB_Thyrow_D1;2015;14.04.2015;10.09.2015;fert33;PO;52.252;13.235;47
EX237;HUB_Thyrow_D1;2015;26.08.2014;21.07.2015;fert37;WC;52.252;13.235;47
EX238;HUB_Thyrow_D1;2015;24.09.2014;04.08.2015;fert35;WR;52.252;13.235;47
EX239;HUB_Thyrow_D1;2015;24.09.2014;23.07.2015;fert35;WW;52.252;13.235;47
EX240;HUB_Thyrow_D1;2016;13.04.2016;14.08.2016;no_fert;PO;52.252;13.235;47
EX241;HUB_Thyrow_D1;2016;27.08.2015;21.07.2016;no_fert;WC;52.252;13.235;47
EX242;HUB_Thyrow_D1;2016;22.09.2015;26.07.2016;no_fert;WR;52.252;13.235;47
EX243;HUB_Thyrow_D1;2016;22.09.2015;23.07.2016;no_fert;WW;52.252;13.235;47
EX244;HUB_Thyrow_D1;2016;13.04.2016;14.08.2016;fert40;PO;52.252;13.235;47
EX245;HUB_Thyrow_D1;2016;27.08.2015;21.07.2016;fert44;WC;52.252;13.235;47
EX246;HUB_Thyrow_D1;2016;22.09.2015;26.07.2016;fert42;WR;52.252;13.235;47
EX247;HUB_Thyrow_D1;2016;22.09.2015;23.07.2016;fert42;WW;52.252;13.235;47
EX248;HUB_Thyrow_D1;2016;13.04.2016;14.08.2016;fert39;PO;52.252;13.235;47
EX249;HUB_Thyrow_D1;2016;27.08.2015;21.07.2016;fert43;WC;52.252;13.235;47
EX250;HUB_Thyrow_D1;2016;22.09.2015;26.07.2016;fert41;WR;52.252;13.235;47
EX251;HUB_Thyrow_D1;2016;22.09.2015;23.07.2016;fert41;WW;52.252;13.235;47
EX252;HUB_Thyrow_D1;2016;13.04.2016;14.08.2016;fert39;PO;52.252;13.235;47
EX253;HUB_Thyrow_D1;2016;27.08.2015;21.07.2016;fert43;WC;52.252;13.235;47
EX254;HUB_Thyrow_D1;2016;22.09.2015;26.07.2016;fert41;WR;52.252;13.235;47
EX255;HUB_Thyrow_D1;2016;22.09.2015;23.07.2016;fert41;WW;52.252;13.235;47
EX256;HUB_Thyrow_D1;2016;13.04.2016;14.08.2016;no_fert;PO;52.252;13.235;47
EX257;HUB_Thyrow_D1;2016;27.08.2015;21.07.2016;no_fert;WC;52.252;13.235;47
EX258;HUB_Thyrow_D1;2016;22.09.2015;26.07.2016;no_fert;WR;52.252;13.235;47
EX259;HUB_Thyrow_D1;2016;22.09.2015;23.07.2016;no_fert;WW;52.252;13.235;47
EX260;HUB_Thyrow_D1;2016;13.04.2016;14.08.2016;fert40;PO;52.252;13.235;47
EX261;HUB_Thyrow_D1;2016;27.08.2015;21.07.2016;fert44;WC;52.252;13.235;47
EX262;HUB_Thyrow_D1;2016;22.09.2015;26.07.2016;fert42;WR;52.252;13.235;47
EX263;HUB_Thyrow_D1;2016;22.09.2015;23.07.2016;fert42;WW;52.252;13.235;47
EX264;HUB_Thyrow_D1;2016;13.04.2016;14.08.2016;fert39;PO;52.252;13.235;47
EX265;HUB_Thyrow_D1;2016;27.08.2015;21.07.2016;fert43;WC;52.252;13.235;47
EX266;HUB_Thyrow_D1;2016;22.09.2015;26.07.2016;fert41;WR;52.252;13.235;47
EX267;HUB_Thyrow_D1;2016;22.09.2015;23.07.2016;fert41;WW;52.252;13.235;47
EX268;HUB_Thyrow_D1;2016;13.04.2016;14.08.2016;fert39;PO;52.252;13.235;47
EX269;HUB_Thyrow_D1;2016;27.08.2015;21.07.2016;fert43;WC;52.252;13.235;47
EX270;HUB_Thyrow_D1;2016;22.09.2015;26.07.2016;fert41;WR;52.252;13.235;47
EX271;HUB_Thyrow_D1;2016;22.09.2015;23.07.2016;fert41;WW;52.252;13.235;47
